sl_no,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history
28049,TN/NIL/58A07/2022/4,Tamil Nadu,Nilgiri,Naduvattum,3 Km south of Naduvattum,11.48891,76.537294,Debris,Slide,5 August 2022
28050,TN/NIL/58A11/2022/5,Tamil Nadu,Nilgiri,Emerald,Emerald,11.341462,76.633856,Debris,Slide,3 August 2022
28051,TN/NIL/58A11/2022/6,Tamil Nadu,Nilgiri,Nerkandi Slide,Nerkandi Village,11.312808,76.625429,Debris,Slide,3 August 2022
28052,TN/NIL/58A11/2022/7,Tamil Nadu,Nilgiri,New Attubail,New Attubail,11.30989722,76.62255833,Earth,Flow,3 August 2022
28053,TN/COIM/58A11/2022/1,Tamil Nadu,Coimbatore,Hairpinbend-26,Aliayar to Attakatty ghat road section,10.43226139,76.98764083,Debris,Slide,4 August 2022
28054,TN/COIM/58A11/2022/2,Tamil Nadu,Coimbatore,Hairpinbend-20,Aliayar to Attakatty ghat road section,10.43735917,76.98563194,Debris,Slide,4 August 2022
28055,TN/COIM/58A11/2022/3,Tamil Nadu,Coimbatore,Rottikadai Slide,Valparai-Iyyarpadi,10.36322167,76.98113,Debris,Slide,14 July 2022
28056,TN/DIN/58F11/2022/1,Tamil Nadu,Dindigul,Hairpin bend 14,Palani-PerumalmalaiPirivu Road,10.36493889,77.51091333,Debris,Slide,NA
28057,TN/DIN/58F12/2022/2,Tamil Nadu,Dindigul,Adukkam-18/6 km,Adukkam-Periyakulam road,10.22914722,77.55147528,Debris,Slide,4 August 2022
28058,TN/DIN/58F12/2022/3,Tamil Nadu,Dindigul,Adukkam-18/10 km,Adukkam-Periyakulam road,10.22721806,77.55028417,Debris,Slide,4 August 2022
28059,TN/DIN/58F12/2022/4,Tamil Nadu,Dindigul,Near Adukkam village,Adukkam-Periyakulam road,10.233872,77.552927,Rock,Slide,4 August 2022
28060,TN/DIN/58F11/2022/5,Tamil Nadu,Dindigul,Near Perumal Malai,Perumalmalai-Bathlagundu road,10.27266389,77.56082278,Debris,Slide,NA
28061,TN/DIN/58F12/2022/6,Tamil Nadu,Dindigul,Near Poolathoor Pirivu,Near Poolathoor Pirivu,10.229645,77.63982056,Debris,Slide,NA
28062,TN/NIL/58A15/2022/01,Tamil Nadu,Nilgiri,Slide-1,Mettupalayam-Gudalur highways,11.3366,76.8261,Debris,Slide,13 December 2022
28063,TN/NIL/58A15/2022/02,Tamil Nadu,Nilgiri,Slide-2,Mettupalayam-Gudalur highways,11.3355,76.81671,Debris,Slide,13 December 2022
28064,TN/NIL/58A15/2022/03,Tamil Nadu,Nilgiri,Slide-3,Mettupalayam-Gudalur highways,11.3345,76.8158,Earth,Slide,13 December 2022
28065,TN/NIL/58A15/2022/04,Tamil Nadu,Nilgiri,Slide-4,Mettupalayam-Gudalur highways,11.3356,76.8146,Debris,Slide,13 December 2022
28066,TN/NIL/58A15/2022/05,Tamil Nadu,Nilgiri,Slide-5,Mettupalayam-Gudalur highways,11.3355,76.814,Debris,Slide,13 December 2022
28067,TN/NIL/58A15/2022/06,Tamil Nadu,Nilgiri,Slide-6,Mettupalayam-Gudalur highways,11.3353,76.8135,Debris,Slide,13 December 2022
28068,TN/NIL/58A15/2022/07,Tamil Nadu,Nilgiri,Slide-7,Mettupalayam-Gudalur highways,11.335,76.8127,Earth,Slide,13 December 2022
28069,TN/NIL/58A15/2022/08,Tamil Nadu,Nilgiri,Slide-8,Mettupalayam-Gudalur highways,11.3312,76.7994,Debris,Slide,13 December 2022
28070,TN/NIL/58A15/2022/09,Tamil Nadu,Nilgiri,Slide-9,Mettupalayam-Gudalur highways,11.3495,76.786,Earth,Slide,13 December 2022
28071,TN/NIL/58A15/2022/10,Tamil Nadu,Nilgiri,Slide-10,Mettupalayam-Gudalur highways,11.3497,76.7855,Debris,Slide,13 December 2022
28072,TN/NIL/58A15/2022/11,Tamil Nadu,Nilgiri,Slide-11,Mettupalayam-Gudalur highways,11.360667,76.781267,Debris,Slide,13 December 2022
28073,TN/NIL/58A15/2022/12,Tamil Nadu,Nilgiri,Slide-12,Mettupalayam-Gudalur highways,11.3492,76.787,Earth,Slide,13 December 2022
28074,TN/NIL/58A15/2022/13,Tamil Nadu,Nilgiri,Slide-13,Mettupalayam-Ooty railway corridor,11.342,76.8308,Debris,Slide,13 December 2022
28075,TN/NIL/58A15/2022/14,Tamil Nadu,Nilgiri,Slide-14,Mettupalayam-Ooty railway corridor,11.3428,76.8287,Debris,Slide,13 December 2022
28076,TN/NIL/58A15/2022/15,Tamil Nadu,Nilgiri,Slide-15,Mettupalayam-Ooty railway corridor,11.341,76.8277,Debris,Slide,13 December 2022
28077,TN/NIL/58A15/2022/16,Tamil Nadu,Nilgiri,Slide-16,Mettupalayam-Ooty railway corridor,11.3389,76.8253,Debris,Slide,13 December 2022
28078,TN/NIL/58A15/2022/17,Tamil Nadu,Nilgiri,Slide-17,Mettupalayam-Ooty railway corridor,11.3387,76.822,Rock,Fall,13 December 2022
28079,TN/NIL/58A15/2022/18,Tamil Nadu,Nilgiri,Slide-18,Mettupalayam-Ooty railway corridor,11.3408,76.8325,Debris,Slide,13 December 2022
28080,TN/NIL/58A15/2022/19,Tamil Nadu,Nilgiri,Slide-19,Mettupalayam-Ooty railway corridor,11.3499,76.8478,Debris,Slide,13 December 2022
28081,TN/NIL/58A15/2022/20,Tamil Nadu,Nilgiri,Slide-20,Mettupalayam-Ooty railway corridor,11.3494,76.8484,Debris,Slide,13 December 2022
28082,TN/NIL/58A15/2022/21,Tamil Nadu,Nilgiri,Slide-21,Mettupalayam-Ooty railway corridor,11.3491,76.8486,Debris,Slide,13 December 2022
28083,TN/NIL/58A15/2022/22,Tamil Nadu,Nilgiri,Slide-22,Mettupalayam-Ooty railway corridor,11.3575,76.7837,Earth,Slide,13 December 2022
28084,TN/NIL/58A15/2022/23,Tamil Nadu,Nilgiri,Slide-23,Mettupalayam-Ooty railway corridor,11.3428,76.8665,Debris,Slide,13 December 2022
28085,TN/NIL/58A15/2022/24,Tamil Nadu,Nilgiri,Slide-24,Mettupalayam-Ooty railway corridor,11.3485,76.8699,Debris,Slide,13 December 2022
28086,TN/NIL/58A15/2022/25,Tamil Nadu,Nilgiri,Slide-25,Mettupalayam-Ooty railway corridor,11.3444,76.861345,Debris,Slide,13 December 2022
28087,TN/GUD/58A07/2022/01,Tamil Nadu,Nilgiri,Panthalur slide,Panthalur taluk,11.4887,76.3391,Debris,Slide,July 2022
28088,TN/GUD/58A07/2022/02,Tamil Nadu,Nilgiri,Devala slide,Devala,11.4726,76.382,Debris,Slide,July 2022
28089,TN/GUD/58A07/2022/03,Tamil Nadu,Nilgiri,Devala slide,Devala,11.4713,76.4113,Debris,Slide,July 2022
28090,TN/GUD/58A07/2022/04,Tamil Nadu,Nilgiri,Devala slide,Devala-Gudalur Road,11.4861,76.4369,Debris,Slide,July 2022
28091,TN/GUD/58A07/2022/05,Tamil Nadu,Nilgiri,Gudular road slide,Gudalur,11.495,76.4552,Debris,Slide,July 2022
28092,TN/GUD/58A07/2022/06,Tamil Nadu,Nilgiri,Needle rock slide,Enroute to needle rock,11.4905,76.5275,Debris,Slide,27 July 2022
28093,TN/GUD/58A07/2022/07,Tamil Nadu,Nilgiri,Gudular road slide,Gudalur,11.4905,76.5325,Debris,Slide,27 July 2022
28094,TN/DD/2022/1,Tamil Nadu,Dindigul,Pannaikadu-hairpinbend LSD,Paniikadu-tandikudi road,10.27456,77.61869,Debris,Slide,5 September 2022
28095,TN/DD/2022/2,Tamil Nadu,Dindigul,Thandikudi LSD1,Thandikudi,10.30272,77.66003,Debris,Slide,29 July 2022
28096,TN/DD/2022/3,Tamil Nadu,Dindigul,Kilavayil slide2,Thandikudi,10.2543,77.33308,Debris,LSD,11 November 2022
28097,TN/DD/2022/4,Tamil Nadu,Dindigul,mannavanur house LSD,Mannavanur,10.22302,77.34488,Debris,Slide,11 November 2022
28098,TN/DD/2022/5,Tamil Nadu,Dindigul,Mannavanur-KumburLSD,Mannavanur,10.22713,77.33827,Earth,Slide,11 November 2022
28099,TN/DD/2022/6,Tamil Nadu,Dindigul,Mannavanur LSD,Mannavanur,10.22466,77.34555,Debris,Slide,11 November 2022
28100,TN/DD/2022/7,Tamil Nadu,Dindigul,Kilavayayil-Mannvanur.RV,Kilavayayil,10.24369,77.33454,Earth,Slide,11 November 2022
28101,TN/DD/2022/8,Tamil Nadu,Dindigul,Padmalodge-LSD,Munjikkal,10.23888,77.49593,Debris,Slide,14 November 2022
28102,TN/DD/2022/9,Tamil Nadu,Dindigul,Kodai-silverfalls LSD,Kodaikanal road,10.23786,77.50736,Debris,Slide,11 November 2022
28103,TN/DD/2022/10,Tamil Nadu,Dindigul,KPDAI-SILVERCASCADE LSD2,Kodaikanal road,10.23826,77.50792,Debris,Slide,11 November 2022
28104,TN/Nil/2023/CSF-1,Tamil Nadu,Nilgiri,CSF-1,NH-181,11.33833,76.87086,Debris,Slide,23 November 2023
28105,TN/Nil/2023/CSF-2,Tamil Nadu,Nilgiri,CSF-2,NH-181,11.34019,76.86667,Debris,Slide,23 November 2023
28106,TN/Nil/2023/CSF-3,Tamil Nadu,Nilgiri,CSF-3,NH-181,11.34039,76.86431,Debris,Slide,23 November 2023
28107,TN/Nil/2023/CSF-4,Tamil Nadu,Nilgiri,CSF-4,NH-181,11.34025,76.86203,Debris,Slide,23 November 2023
28108,TN/Nil/2023/CSF-5,Tamil Nadu,Nilgiri,CSF-5,NH-181,11.33842,76.86083,Debris,Slide,23 November 2023
28109,TN/Nil/2023/CSF-6,Tamil Nadu,Nilgiri,CSF-6,NH-181,11.33814,76.86067,Earth,Slide,23 November 2023
28110,TN/Nil/2023/CSF-7,Tamil Nadu,Nilgiri,CSF-7,NH-181,11.33906,76.8575,Debris,Slide,23 November 2023
28111,TN/Nil/2023/CSF-8,Tamil Nadu,Nilgiri,CSF-8,NH-181,11.33956,76.85731,Earth,Slide,23 November 2023
28112,TN/Nil/2023/CSF-9,Tamil Nadu,Nilgiri,CSF-9,NH-181,11.34003,76.85708,Debris,Slide,23 November 2023
28113,TN/Nil/2023/CSF-10,Tamil Nadu,Nilgiri,CSF-10,NH-181,11.34083,76.85725,Debris,Slide,23 November 2023
28114,TN/Nil/2023/CSF-11,Tamil Nadu,Nilgiri,CSF-11,NH-181,11.34097,76.85692,Earth,Slide,23 November 2023
28115,TN/Nil/2023/CSF-12,Tamil Nadu,Nilgiri,CSF-12,NH-181,11.33972,76.84953,Earth,Slide,23 November 2023
28116,TN/Nil/2023/CSF-13,Tamil Nadu,Nilgiri,CSF-13,NH-181,11.34036,76.84983,Earth,Slide,23 November 2023
28117,TN/Nil/2023/CSF-14,Tamil Nadu,Nilgiri,CSF-14,NH-181,11.34183,76.85008,Earth,Slide,23 November 2023
28118,TN/Nil/2023/CSF-15,Tamil Nadu,Nilgiri,CSF-15,NH-181,11.34244,76.85006,Earth,Slide,23 November 2023
28119,TN/Nil/2023/CSF-16,Tamil Nadu,Nilgiri,CSF-16,NH-181,11.34419,76.84842,Earth,Slide,23 November 2023
28120,TN/Nil/2023/CSF-17,Tamil Nadu,Nilgiri,CSF-17,NH-181,11.34242,76.84642,Earth,Slide,23 November 2023
28121,TN/Nil/2023/CSF-18,Tamil Nadu,Nilgiri,CSF-18,NH-181,11.3423,76.84593,Debris,Slide,23 November 2023
28122,TN/Nil/2023/CSF-19,Tamil Nadu,Nilgiri,CSF-19,NH-181,11.33889,76.84272,Earth,Slide,23 November 2023
28123,TN/Nil/2023/CSF-20,Tamil Nadu,Nilgiri,CSF-20,NH-181,11.33975,76.84194,Earth,Slide,23 November 2023
28124,TN/Nil/2023/CSF-21,Tamil Nadu,Nilgiri,CSF-21,NH-181,11.33969,76.84094,Earth,Slide,23 November 2023
28125,TN/Nil/2023/CSF-22,Tamil Nadu,Nilgiri,CSF-22,NH-181,11.33525,76.82756,Earth,Slide,23 November 2023
28126,TN/Nil/2023/CSF-23,Tamil Nadu,Nilgiri,CSF-23,NH-181,11.33578,76.82769,Debris,Slide,23 November 2023
28127,TN/Nil/2023/CSF-24,Tamil Nadu,Nilgiri,CSF-24,NH-181,11.33675,76.82814,Earth,Slide,23 November 2023
28128,TN/Nil/2023/CSF-25,Tamil Nadu,Nilgiri,CSF-25,NH-181,11.33844,76.82786,Earth,Slide,23 November 2023
28129,TN/Nil/2023/CSF-26,Tamil Nadu,Nilgiri,CSF-26,NH-181,11.33675,76.82742,Debris,Slide,23 November 2023
28130,TN/Nil/2023/CSF-27,Tamil Nadu,Nilgiri,CSF-27,NH-181,11.33589,76.82678,Debris,Slide,23 November 2023
28131,TN/Nil/2023/CSF-28,Tamil Nadu,Nilgiri,CSF-28,NH-181,11.33647,76.82564,Debris,Slide,23 November 2023
28132,TN/Nil/2023/CSF-29,Tamil Nadu,Nilgiri,CSF-29,NH-181,11.33728,76.82531,Earth,Slide,23 November 2023
28133,TN/Nil/2023/CSF-30,Tamil Nadu,Nilgiri,CSF-30,NH-181,11.33736,76.82425,Earth,Slide,23 November 2023
28134,TN/Nil/2023/CSF-31,Tamil Nadu,Nilgiri,CSF-31,NH-181,11.33736,76.82419,Earth,Slide,23 November 2023
28135,TN/Nil/2023/CSF-32,Tamil Nadu,Nilgiri,CSF-32,NH-181,11.33578,76.81989,Earth,Slide,23 November 2023
28136,TN/Nil/2023/CSF-33,Tamil Nadu,Nilgiri,CSF-33,NH-181,11.33475,76.8195,Earth,Slide,23 November 2023
28137,TN/Nil/2023/CSF-34,Tamil Nadu,Nilgiri,CSF-34,NH-181,11.33492,76.81864,Earth,Slide,23 November 2023
28138,TN/Nil/2023/CSF-35,Tamil Nadu,Nilgiri,CSF-35,NH-181,11.33492,76.82417,Earth,Slide,23 November 2023
28139,TN/Nil/2023/CSF-36,Tamil Nadu,Nilgiri,CSF-36,NH-181,11.33439,76.81717,Earth,Slide,23 November 2023
28140,TN/Nil/2023/CSF-37,Tamil Nadu,Nilgiri,CSF-37,NH-181,11.33477,76.81732,Earth,Slide,23 November 2023
28141,TN/Nil/2023/CSF-38,Tamil Nadu,Nilgiri,CSF-38,NH-181,11.33477,76.81728,Earth,Slide,23 November 2023
28142,TN/Nil/2023/CSF-39,Tamil Nadu,Nilgiri,CSF-39,NH-181,11.33428,76.81322,Earth,Slide,23 November 2023
28143,TN/Nil/2023/CSF-40,Tamil Nadu,Nilgiri,CSF-40,NH-181,11.33558,76.815,Earth,Slide,23 November 2023
28144,TN/Nil/2023/CSF-41,Tamil Nadu,Nilgiri,CSF-41,NH-181,11.33547,76.81456,Debris,Slide,23 November 2023
28145,TN/Nil/2023/CSF-42,Tamil Nadu,Nilgiri,CSF-42,NH-181,11.33547,76.8145,Debris,Slide,23 November 2023
28146,TN/Nil/2023/CSF-43,Tamil Nadu,Nilgiri,CSF-43,NH-181,11.33528,76.81331,Debris,Slide,23 November 2023
28147,TN/Nil/2023/CSF-44,Tamil Nadu,Nilgiri,CSF-44,NH-181,11.33536,76.81286,Earth,Slide,23 November 2023
28148,TN/Nil/2023/CSF-45,Tamil Nadu,Nilgiri,CSF-45,NH-181,11.33536,76.81281,Earth,Slide,23 November 2023
28149,TN/Nil/2023/CSF-46,Tamil Nadu,Nilgiri,CSF-46,NH-181,11.33433,76.81244,Earth,Slide,23 November 2023
28150,TN/Nil/2023/CSF-47,Tamil Nadu,Nilgiri,CSF-47,NH-181,11.33231,76.80869,Earth,Slide,23 November 2023
28151,TN/Nil/2023/CSF-48,Tamil Nadu,Nilgiri,CSF-48,NH-181,11.33042,76.80783,Earth,Slide,23 November 2023
28152,TN/Nil/2023/CSF-49,Tamil Nadu,Nilgiri,CSF-49,NH-181,11.32925,76.80642,Earth,Slide,23 November 2023
28153,TN/Nil/2023/CSF-50,Tamil Nadu,Nilgiri,CSF-50,NH-181,11.33147,76.80142,Debris,Slide,23 November 2023
28154,TN/Nil/2023/CSF-51,Tamil Nadu,Nilgiri,CSF-51,NH-181,11.33128,76.79947,Earth,Slide,23 November 2023
28155,TN/Nil/2023/CSF-52,Tamil Nadu,Nilgiri,CSF-52,NH-181,11.33128,76.79944,Earth,Slide,23 November 2023
28156,TN/Nil/2023/CSF-53,Tamil Nadu,Nilgiri,CSF-53,NH-181,11.33244,76.79422,Earth,Slide,23 November 2023
28157,TN/Nil/2023/CSF-54,Tamil Nadu,Nilgiri,CSF-54,NH-181,11.33461,76.79083,Earth,Slide,23 November 2023
28158,TN/Nil/2023/CSF-55,Tamil Nadu,Nilgiri,CSF-55,NH-181,11.33372,76.79764,Debris,Slide,23 November 2023
28159,TN/Nil/2023/CSF-56,Tamil Nadu,Nilgiri,CSF-56,NH-181,11.33406,76.79825,Debris,Slide,23 November 2023
28160,TN/Nil/2023/CSF-57,Tamil Nadu,Nilgiri,CSF-57,NH-181,11.33406,76.79831,Debris,Slide,23 November 2023
28161,TN/Nil/2023/CSF-58,Tamil Nadu,Nilgiri,CSF-58,NH-181,11.33597,76.79875,Debris,Slide,23 November 2023
28162,TN/Nil/2023/CSF-59,Tamil Nadu,Nilgiri,CSF-59,NH-181,11.33646,76.79841,Rock,Fall,23 November 2023
28163,TN/Nil/2023/CSF-60,Tamil Nadu,Nilgiri,CSF-60,NH-181,11.34025,76.79775,Debris,Slide,23 November 2023
28164,TN/Nil/2023/CSF-61,Tamil Nadu,Nilgiri,CSF-61,NH-181,11.34058,76.79775,Earth,Slide,23 November 2023
28165,TN/Nil/2023/CSF-62,Tamil Nadu,Nilgiri,CSF-62,NH-181,11.341,76.79756,Debris,Slide,23 November 2023
28166,TN/Nil/2023/CSF-63,Tamil Nadu,Nilgiri,CSF-63,NH-181,11.34175,76.79606,Earth,Slide,23 November 2023
28167,TN/Nil/2023/CSF-64,Tamil Nadu,Nilgiri,CSF-64,NH-181,11.34181,76.79556,Debris,Slide,23 November 2023
28168,TN/Nil/2023/CSF-65,Tamil Nadu,Nilgiri,CSF-65,NH-181,11.34208,76.79533,Earth,Slide,23 November 2023
28169,TN/Nil/2023/CSF-66,Tamil Nadu,Nilgiri,CSF-66,NH-181,11.34481,76.79025,Earth,Slide,23 November 2023
28170,TN/Nil/2023/CSF-67,Tamil Nadu,Nilgiri,CSF-67,NH-181,11.345,76.79022,Earth,Slide,23 November 2023
28171,TN/Nil/2023/CSF-68,Tamil Nadu,Nilgiri,CSF-68,NH-181,11.34569,76.78942,Earth,Slide,23 November 2023
28172,TN/Nil/2023/CSF-69,Tamil Nadu,Nilgiri,CSF-69,NH-181,11.34597,76.78917,Debris,Slide,23 November 2023
28173,TN/Nil/2023/CSF-70,Tamil Nadu,Nilgiri,CSF-70,NH-181,11.34758,76.78822,Debris,Slide,23 November 2023
28174,TN/Nil/2023/CSF-71,Tamil Nadu,Nilgiri,CSF-71,NH-181,11.3495,76.78722,Earth,Slide,23 November 2023
28175,TN/Nil/2023/CSF-72,Tamil Nadu,Nilgiri,CSF-72,NH-181,11.34973,76.7869,Earth,Slide,23 November 2023
28176,TN/Nil/2023/CSF-73,Tamil Nadu,Nilgiri,CSF-73,NH-181,11.34958,76.78603,Earth,Slide,23 November 2023
28177,TN/Nil/2023/CSF-74,Tamil Nadu,Nilgiri,CSF-74,NH-181,11.34961,76.78558,Earth,Slide,23 November 2023
28178,TN/Nil/2023/CSF-75,Tamil Nadu,Nilgiri,CSF-75,NH-181,11.35036,76.78528,Debris,Slide,23 November 2023
28179,TN/Nil/2023/CSF-76,Tamil Nadu,Nilgiri,CSF-76,NH-181,11.35256,76.78483,Earth,Slide,23 November 2023
28180,TN/Nil/2023/CSF-77,Tamil Nadu,Nilgiri,CSF-77,NH-181,11.35333,76.785,Debris,Slide,23 November 2023
28181,TN/Nil/2023/CSF-78,Tamil Nadu,Nilgiri,CSF-78,NH-181,11.35414,76.78528,Debris,Slide,23 November 2023
28182,TN/Nil/2023/CSF-79,Tamil Nadu,Nilgiri,CSF-79,NH-181,11.35983,76.78161,Debris,Slide,23 November 2023
28183,TN/Nil/2023/CSF-80,Tamil Nadu,Nilgiri,CSF-80,NH-181,11.36067,76.78136,Debris,Slide,23 November 2023
28184,TN/Nil/2023/CSF-81,Tamil Nadu,Nilgiri,CSF-81,NH-181,11.36231,76.7795,Earth,Slide,23 November 2023
28185,TN/Nil/2023/CSF-82,Tamil Nadu,Nilgiri,CSF-82,NH-181,11.36292,76.77873,Earth,Slide,23 November 2023
28186,TN/Nil/2023/CSF-83,Tamil Nadu,Nilgiri,CSF-83,NH-181,11.36631,76.77342,Earth,Slide,23 November 2023
28187,TN/Nil/2023/CSF-84,Tamil Nadu,Nilgiri,CSF-84,NH-181,11.36644,76.77225,Earth,Slide,23 November 2023
28188,TN/Nil/2023/CSF-85,Tamil Nadu,Nilgiri,CSF-85,NH-181,11.3665,76.77164,Debris,Slide,23 November 2023
28189,TN/Nil/2023/CSF-86,Tamil Nadu,Nilgiri,CSF-86,NH-181,11.3665,76.77125,Debris,Slide,23 November 2023
28190,TN/Nil/2023/CSF-87,Tamil Nadu,Nilgiri,CSF-87,NH-181,11.36659,76.77039,Debris,Slide,23 November 2023
28191,TN/Nil/2023/CSF-88,Tamil Nadu,Nilgiri,CSF-88,NH-181,11.36706,76.76914,Debris,Slide,23 November 2023
28192,TN/Nil/2023/CSF-89,Tamil Nadu,Nilgiri,CSF-89,NH-181,11.36689,76.76739,Debris,Slide,23 November 2023
28193,TN/Nil/2023/CSF-90,Tamil Nadu,Nilgiri,CSF-90,NH-181,11.34333,76.79572,Earth,Slide,23 November 2023
28194,TN/Nil/58A11/2023/91,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15 (Kaithala village),11.41479928,76.87340635,Earth,Slide,23 November 2023
28195,TN/Nil/58A11/2023/92,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15 (Aravenu village),11.40396239,76.8755371,Earth,Slide,23 November 2023
28196,TN/Nil/58A11/2023/93,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15,11.39869649,76.88035008,Earth,Slide,23 November 2023
28197,TN/Nil/58A11/2023/94,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15 (Kaithala village),11.39647571,76.88035008,Debris,Slide,23 November 2023
28198,TN/Nil/58A11/2023/95,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15,11.39428321,76.88478423,Debris,Slide,23 November 2023
28199,TN/Nil/58A11/2023/96,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15,11.39101342,76.88567563,Debris,Slide,23 November 2023
28200,TN/Nil/58A11/2023/97,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15,11.39004228,76.89137908,Debris,Slide,23 November 2023
28201,TN/Nil/58A11/2023/98,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15,11.38678231,76.89223945,Debris,Slide,23 November 2023
28202,TN/Nil/58A11/2023/99,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15 (Melthattapallam village),11.38445676,76.89046944,Debris,Slide,23 November 2023
28203,TN/Nil/58A11/2023/100,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15 (Near Melthattapallam village),11.3837739,76.89157885,Debris,Slide,23 November 2023
28204,TN/Nil/58A11/2023/101,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15,11.38272038,76.89171657,Earth,Slide,23 November 2023
28205,TN/Nil/58A11/2023/102,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15,11.3825477,76.89280582,Debris,Slide,23 November 2023
28206,TN/Nil/58A11/2023/103,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15,11.38051118,76.89818045,Debris,Slide,23 November 2023
28207,TN/Nil/58A11/2023/104,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15,11.38437302,76.90040614,Debris,Slide,23 November 2023
28208,TN/Nil/58A11/2023/105,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15,11.37317615,76.90097896,Debris,Slide,23 November 2023
28209,TN/Nil/58A11/2023/106,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15,11.36943894,76.90015075,Debris,Slide,23 November 2023
28210,TN/Nil/58A11/2023/107,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15,11.36671495,76.89784123,Debris,Slide,23 November 2023
28211,TN/Nil/58A11/2023/108,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15,11.36658063,76.89767177,Debris,Slide,23 November 2023
28212,TN/Nil/58A11/2023/109,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15,11.36596682,76.89974834,Debris,Slide,23 November 2023
28213,TN/Nil/58A11/2023/110,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15,11.36495906,76.90157783,Earth,Slide,23 November 2023
28214,TN/Nil/58A11/2023/111,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15,11.36400221,76.9098213,Earth,Slide,23 November 2023
28215,TN/Nil/58A11/2023/112,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15,11.36353226,76.9128616,Earth,Slide,23 November 2023
28216,TN/Nil/58A11/2023/113,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15,11.36272917,76.91433431,Debris,Slide,23 November 2023
28217,TN/Nil/58A11/2023/114,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15,11.36182795,76.91594312,Earth,Slide,23 November 2023
28218,TN/Nil/58A11/2023/115,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15,11.3607386,76.91736774,Earth,Slide,23 November 2023
28219,TN/Nil/58A11/2023/116,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15,11.36128851,76.91924593,Debris,Slide,23 November 2023
28220,TN/Nil/58A11/2023/117,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15,11.35951023,76.91986142,Earth,Slide,23 November 2023
28221,TN/Nil/58A11/2023/118,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15,11.35895452,76.91988671,Debris,Slide,23 November 2023
28222,TN/Nil/58A11/2023/119,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15,11.35891845,76.92087799,Earth,Slide,23 November 2023
28223,TN/Nil/58A11/2023/120,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15,11.35896363,76.92145754,Earth,Slide,23 November 2023
28224,TN/Nil/58A11/2023/121,Tamil Nadu,Nilgiri,Kothagiri slide,Kothagiri to Mettupalayam road SH-15,11.35744628,76.92692457,Earth,Slide,23 November 2023
28225,TN/Nil/58A11/2023/122,Tamil Nadu,Nilgiri,Kothagiri slide,SH-15 (Kunjapanai),11.35687261,76.93210853,Earth,Slide,23 November 2023
28226,TN/Nil/58A11/2023/123,Tamil Nadu,Nilgiri,Kothagiri slide,SH-15 (Mettupalayam view point),11.35629482,76.93299509,Earth,Slide,23 November 2023
28227,TN/Nil/58A11/2023/124,Tamil Nadu,Nilgiri,Kothagiri slide,SH-15 (Near Mettupalayam view point),11.35809188,76.93395232,Debris,Slide,23 November 2023
